trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,sharpe,section
現貨開盤,15,0,3,33,84.8,0.0,15.2,84.8,550,17.0,-50.6,0.96,09:00_filter
現貨開盤,15,10,3,33,66.7,33.3,0.0,66.7,880,27.0,-14.0,3.54,09:00_filter
現貨開盤,15,15,3,33,69.7,30.3,0.0,69.7,630,19.0,-19.0,2.16,09:00_filter
現貨開盤,15,20,3,33,69.7,30.3,0.0,69.7,130,4.0,-24.0,0.38,09:00_filter
現貨開盤,15,30,3,33,72.7,27.3,0.0,72.7,-420,-13.0,-34.0,-0.99,09:00_filter
現貨開盤,15,0,5,33,93.9,0.0,6.1,93.9,1600,48.0,-90.5,2.45,09:00_filter
現貨開盤,15,10,5,33,66.7,33.3,0.0,66.7,880,27.0,-14.0,3.54,09:00_filter
現貨開盤,15,15,5,33,69.7,30.3,0.0,69.7,630,19.0,-19.0,2.16,09:00_filter
現貨開盤,15,20,5,33,69.7,30.3,0.0,69.7,130,4.0,-24.0,0.38,09:00_filter
現貨開盤,15,30,5,33,72.7,27.3,0.0,72.7,-420,-13.0,-34.0,-0.99,09:00_filter
現貨開盤,15,0,10,33,97.0,0.0,3.0,97.0,1320,40.0,-220.0,1.58,09:00_filter
現貨開盤,15,10,10,33,66.7,33.3,0.0,66.7,880,27.0,-14.0,3.54,09:00_filter
現貨開盤,15,15,10,33,69.7,30.3,0.0,69.7,630,19.0,-19.0,2.16,09:00_filter
現貨開盤,15,20,10,33,69.7,30.3,0.0,69.7,130,4.0,-24.0,0.38,09:00_filter
現貨開盤,15,30,10,33,72.7,27.3,0.0,72.7,-420,-13.0,-34.0,-0.99,09:00_filter
現貨開盤,15,0,15,33,97.0,0.0,3.0,97.0,2300,70.0,-122.0,4.78,09:00_filter
現貨開盤,15,10,15,33,66.7,33.3,0.0,66.7,880,27.0,-14.0,3.54,09:00_filter
現貨開盤,15,15,15,33,69.7,30.3,0.0,69.7,630,19.0,-19.0,2.16,09:00_filter
現貨開盤,15,20,15,33,69.7,30.3,0.0,69.7,130,4.0,-24.0,0.38,09:00_filter
現貨開盤,15,30,15,33,72.7,27.3,0.0,72.7,-420,-13.0,-34.0,-0.99,09:00_filter
現貨開盤,20,0,1,33,54.5,0.0,45.5,63.6,290,9.0,-17.3,0.63,09:00_filter
現貨開盤,20,10,1,33,54.5,39.4,6.1,57.6,1100,33.0,-11.9,3.63,09:00_filter
現貨開盤,20,15,1,33,54.5,36.4,9.1,60.6,710,22.0,-14.5,2.05,09:00_filter
現貨開盤,20,20,1,33,54.5,33.3,12.1,60.6,340,10.0,-16.9,0.88,09:00_filter
現貨開盤,20,30,1,33,54.5,15.2,30.3,63.6,590,18.0,-15.3,1.47,09:00_filter
現貨開盤,20,0,2,33,72.7,0.0,27.3,72.7,90,3.0,-41.7,0.14,09:00_filter
現貨開盤,20,10,2,33,54.5,45.5,0.0,54.5,780,24.0,-14.0,2.47,09:00_filter
現貨開盤,20,15,2,33,57.6,42.4,0.0,57.6,380,12.0,-19.0,1.04,09:00_filter
現貨開盤,20,20,2,33,57.6,42.4,0.0,57.6,-320,-10.0,-24.0,-0.77,09:00_filter
現貨開盤,20,30,2,33,63.6,33.3,3.0,63.6,-410,-12.0,-31.4,-0.83,09:00_filter
現貨開盤,20,0,3,33,81.8,0.0,18.2,81.8,1660,50.0,-44.3,2.73,09:00_filter
現貨開盤,20,10,3,33,54.5,45.5,0.0,54.5,780,24.0,-14.0,2.47,09:00_filter
現貨開盤,20,15,3,33,57.6,42.4,0.0,57.6,380,12.0,-19.0,1.04,09:00_filter
現貨開盤,20,20,3,33,57.6,42.4,0.0,57.6,-320,-10.0,-24.0,-0.77,09:00_filter
現貨開盤,20,30,3,33,66.7,33.3,0.0,66.7,-220,-7.0,-34.0,-0.44,09:00_filter
現貨開盤,20,0,5,33,93.9,0.0,6.1,93.9,3150,95.0,-90.5,4.67,09:00_filter
