datetime,session,yesterday_balance,today_balance,equity,future_settle_profitloss,future_open_position,available_margin
2026-07-13 13:46:11,日盤,1381015.0,1367675.0,1047775.0,-11850.0,-319899.99,339502.0
2026-07-14 05:01:13,夜盤,1381015.0,1345818.0,1058818.0,-33250.0,-286999.99,170497.0
2026-07-14 13:46:08,日盤,1367675.0,1391888.0,942688.0,25850.0,-449200.0,557504.0
2026-07-15 05:01:10,夜盤,1367675.0,1386958.0,938458.0,21050.0,-448500.0,553205.0
2026-07-15 13:46:20,日盤,1391888.0,1202420.0,1038720.0,-189050.0,-163700.0,215111.0
2026-07-16 05:01:25,夜盤,1391888.0,992298.0,1030448.0,-398330.0,38150.0,668253.0
2026-07-16 13:46:25,日盤,987440.0,925644.0,874384.0,-60150.0,-51260.0,52917.0
2026-07-17 05:01:27,夜盤,987440.0,780874.0,739614.0,-204400.0,-41260.0,532094.0
2026-07-17 13:46:01,日盤,925644.0,1064246.0,946486.0,-29800.0,-117759.99,600612.0
2026-07-18 05:01:03,夜盤,925644.0,1086434.0,958374.0,-7550.0,-128060.0,771450.0
2026-07-18 13:46:09,日盤,1064246.0,1086434.0,958374.0,22250.0,-128060.0,771450.0
2026-07-19 05:01:10,夜盤,1064246.0,1086434.0,958374.0,22250.0,-128060.0,771450.0
2026-07-19 13:46:30,日盤,1064246.0,1086434.0,958374.0,22250.0,-128060.0,771450.0
